"ediazj","1366751190000","-3.76976118","40.24546644","Parla","Un Bayern demoledor sentencia (a priori) a un Barcelona nulo..."
"YuranPt","1366751633000","","","Braga","Looks like #Barcelona went to #Munich 4 nothing"
"xeniaorti_","1366751634000","","","Tarragona","Perque no antenc res? que dius?"
"UxiaCostas","1366751634000","2.16580868","41.39147527","Barcelona","Allá donde fueres haz lo que vieres #SantJordi 💏📚 @ Passeig de Gràcia http://t.co/BtdaOZV3Az"
"guuigs_","1366751635000","-49.649964","-23.4069552","Carlópolis","Uma coisa que eu achei que nunca ia presenciar, é o barcelona de iniesta, xavi e messi perder de 4 a 0"
"gallagherleaks","1366751635000","","","Andorra la Vella","@SGFLICK @maravillabox pues mira, es un tema q engloba muchas el tema del box en ESP, si tuiter fuera mas largo,a mi me parece una verguenza"
"MariaCopito","1366751636000","2.17528224","41.38010926","Barcelona","Hoy en Barcelona se compraron libros con sonrisas, llamadas, intenciones y promesas. Feliz Sant Jordi… http://t.co/6bx9j3zIho"
"marinadiaz_12","1366751637000","2.24685108","41.45858076","Badalona","Hola @Rogerfranch10 deseo que te rapten alli en Suecia y no vuelvas nunca, adeu."
"perehosta","1366751638000","2.1829725","41.38488905","Barcelona","Linea de vol #volar #fly #ocell #pajaru #bcn #born #puntdefuga #insta #iphone #iphoto #iphone4… http://t.co/MOvgBu3qco"
"oscarvillalibre","1366751638000","2.1868183","41.41633162","Barcelona","@jordimoralesj a mi també m'agradaria saber-ho. Però no comencem a cremar-ho tot ara..."
"chiluBosS","1366751638000","28.23353","-26.10795","Kempton Park","Even UEFA could not help Barcelona tonight"
"lauratiana3","1366751639000","2.08440887","41.52958016","Sant Quirze del Vallès","No one is in control of your happiness. #airport #marroc #casablanca #dog #mimi #happiness #your #life… http://t.co/wTGLZnSQ6j"
"justpolgb","1366751640000","","","Barcelona","Nuria que leas mis no menciones."
"leonardojoseba1","1366751640000","-87.22251414","14.04011307","","Baile del bayern al Barcelona"
"dcc_89","1366751640000","2.36222628","41.51750442","Vilassar de Dalt","Jupp Heynckes: ""La clave ha sido la disciplina de mis jugadores"". #nohasefaltaquedisesnadamas"
"JeerryRangeel","1366751641000","-100.27255157","25.78269036","Gral. Escobedo","No puede ser! Que le paso al Barcelona :/"
"touray23","1366751641000","3.1242256","42.0390039","Torroella de Montgrí","@1victorvaldes. Dale para adelante que coño..joer q ha sido un partido.a ver que tal la vuelta..dificil,pero en el futbol todo es posible!"
"N_Alkhashan_","1366751642000","48.0568143","29.2397491","","Say no more ..   never lose hope ♡ #barcelona♥"
"CruzeiroSempreC","1366751644000","","","Belo Horizonte","Presidente do Barcelona irá entrar com uma ação na Justiça, alegando macumba do Atlético Mineiro após chamarem o clube de Barça da América!"
"justiciero00","1366751644000","1.92648952","42.42847543","Puigcerdà","@CarlesFite esto te lo crees ...."
"pacojiro","1366751644000","","","Cerdanyola del Vallès","@LinaIonescu @LaTdP Malament si no saps que a Catalunya Radio avui fan vaga en defensa dels seus drets:-("
"carlotaperea","1366751645000","2.1003641","41.3605237","L'Hospitalet de Llobregat","@xaviermars tabac no cal, paper..... pobre tu. Ves a dormir, demà serà un altre dia."
"yoly_15","1366751645000","2.03676577","41.33562827","Sant Boi de Llobregat","@gallego11s jajjaaja no que va en serio xd si pasa a la final me venden entradas xra melendi, sino no ajajaja"
"1974Odin","1366751646000","2.0250291","41.3166432","Viladecans","Hoy @cristobalsoria estará contento, no? Jajajaja todo lo contrario que su amigo @DavidMarca #Anims jajajajaja"
"xikipuertas6","1366751646000","2.1696","41.42832","Barcelona","@Alexgonzalez11 Si el partido va mal, hay que hacer cambios.... Pd: Se nos nota la vena de entrenador jaja haber si me saco pronto el titulo"
"Tais_Rod","1366751648000","-50.8777003","-29.7279713","Taquara","Nossa pireeii com o jogo hj.. Baah q isso Barcelona???"
